bulan,kategori,jumlah,periode_parsial
2024-11-01,Akurasi Lokasi & Rute,173,False
2024-12-01,Ketersediaan & Respons Mitra Driver,801,False
2024-12-01,Pesanan GoFood & Pembatalan,760,False
2024-12-01,"Tarif, Ongkir & Promo",572,False
2024-12-01,Layanan Pelanggan & Penanganan Keluhan,515,False
2024-12-01,"GoPayLater, GoPinjam & Penagihan",358,False
2024-12-01,Transaksi & Saldo GoPay,342,False
2024-12-01,Performa & Gangguan Aplikasi,306,False
2024-12-01,"Akun, Login & Verifikasi",237,False
2024-12-01,Akurasi Lokasi & Rute,234,False
2025-01-01,Ketersediaan & Respons Mitra Driver,557,False
2025-01-01,Pesanan GoFood & Pembatalan,541,False
2025-01-01,"Tarif, Ongkir & Promo",455,False
2025-01-01,Layanan Pelanggan & Penanganan Keluhan,385,False
2025-01-01,"GoPayLater, GoPinjam & Penagihan",308,False
2025-01-01,Transaksi & Saldo GoPay,270,False
2025-01-01,Performa & Gangguan Aplikasi,225,False
2025-01-01,Akurasi Lokasi & Rute,197,False
2025-01-01,"Akun, Login & Verifikasi",168,False
2025-02-01,Ketersediaan & Respons Mitra Driver,474,False
2025-02-01,Pesanan GoFood & Pembatalan,420,False
2025-02-01,Layanan Pelanggan & Penanganan Keluhan,326,False
2025-02-01,"Tarif, Ongkir & Promo",318,False
2025-02-01,Transaksi & Saldo GoPay,222,False
2025-02-01,"GoPayLater, GoPinjam & Penagihan",221,False
2025-02-01,Performa & Gangguan Aplikasi,205,False
2025-02-01,Akurasi Lokasi & Rute,148,False
2025-02-01,"Akun, Login & Verifikasi",146,False
2025-03-01,Pesanan GoFood & Pembatalan,639,False
2025-03-01,Ketersediaan & Respons Mitra Driver,588,False
2025-03-01,Layanan Pelanggan & Penanganan Keluhan,404,False
2025-03-01,"Tarif, Ongkir & Promo",333,False
2025-03-01,"GoPayLater, GoPinjam & Penagihan",283,False
2025-03-01,Performa & Gangguan Aplikasi,260,False
2025-03-01,Transaksi & Saldo GoPay,252,False
2025-03-01,Akurasi Lokasi & Rute,178,False
2025-03-01,"Akun, Login & Verifikasi",154,False
2025-04-01,Pesanan GoFood & Pembatalan,833,False
2025-04-01,Ketersediaan & Respons Mitra Driver,689,False
2025-04-01,Layanan Pelanggan & Penanganan Keluhan,518,False
2025-04-01,"Tarif, Ongkir & Promo",445,False
