token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
urgent,189,False,kenapa si nyari drivernya susahh bangettt pdhl kdng urgent😞,urgent,
upgrade,188,False,"mengapa aku tidak bisa upgrade nih applikasi, padahal aku buat pakai harian perihal keluar masuknya uang aku,",upgrade,
gofoodnya,186,False,"di kolom pencarian kok gangguan melulu yah... saya mau mesen makanan pas di cari "" maaf lagi gangguan"". kalau ",gofood-nya,
trimakasih,186,False,ok trimakasih banyak promonya.,terima kasih,
gercep,186,False,"gercep, ramah, amanah",cepat,
pke,183,False,"kalo hari hujan susah cri driver padahal banyao driver yang stan by, padah kita butuh cepat klo gini cara gk u",pakai,
internet,181,False,"bagus sih bagus, tapi suka error kalo, lg pesen go transit.. kuota msh banyak, aplikasi yg lain msh jalan, tap",internet,
dn,180,False,awal2 murah. tapi makin hari tarif nya makin mahal. padahal dengan jarak tempuh yg sama. rmh kantor. kantor ru,dan,
bgus,177,False,bgus,bagus,
mantappp,174,False,mantappp,mantap,
mantep,174,False,mantep sukses buwat gojek,mantap,
engga,173,False,"lag banget woilah, ui + animasi nya di kurangin, minimaliskan ui nya, memang keren kalau kompleks, tapi kasian",tidak,
rp,169,False,"31 desember 2025 jam 01:35, saya pesan makan 3 bebek goreng dengan harga rp.35.000 diaplikasi dan totalnya rp.",rupiah,
lbh,169,False,"mungkin untuk driver cikarang dan sekitarnya,lbh baik lg(sopan)... berbeda sm driver2 jkrt yang pd sopan2",lebih,
restonya,168,False,sok-sokan pasang tarif pengiriman termahal dari aplikasi ojol lain. tapi nyatanya gojek tetap tidak bisa memas,restorannya,
donk,168,False,sering nemuin driver nolak orderan dengan cuma jawab iya pdhal jarak cuma 500 meter krna argo receh dan saya d,dong,
pdhal,164,False,"padahal udh nyaman udah enak bgtt tpi kok makim sini makin susah cari drivernya, selalu lamaa, pdhal bukan fit",padahal,
smpe,164,False,nih gojek bbnr bnr kelewatan proses pngemblian dana smpe 1 bulan blm di proess juga dkarywan makan gaji buta k,sampai,
topup,164,False,"udh lama pake gojek, baru kali ini topup gopay malah gk masuk. turun b1 aja lah, masa iya disuruh nunggu 48 ja",top up,
byk,161,False,byk promo makin seneng blanjanya,banyak,
aj,161,False,bgs aj,saja,
tgl,160,False,"untuk sekarang ku kasih bintang 2 karna skrg tgl 28/12/2025 jam 13.23 wib blm nemu driver, sulit nemu driver! ",tanggal,
thanks,160,False,sangat membantu dan memudahkan ketika ingin pergi kemana saja. thanks gojek,terima kasih,
bangett,158,False,okey bangett,sangat,
comfort,158,False,pengalaman terbaik & terseru naik goride comfort motor listrik...,nyaman,
pick,155,False,"sekarang nyari driver susah banget, padahal banyak di sekitar tapi gak ada yg mau pick up",pick,
masukin,155,False,"butut,masukin kode nya salah trus padahal itu kode baru",masukkan,
